ids,CLSZ_0.41,CLID_0.41
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
NA,1016,2
